P2,P2
P3,P3
P4,P4
UART_CTS,P5
UART_RX,P6
UART_RTS,P7
UART_TX,P8
NFC1,P9
NFC2,P10
P11,P11
P12,P12
SW2,P13
SW1,P14
P15,P15
P16,P16
LED1,P17
LED2,P18
P19,P19
P20,P20
P21,P21
P22,P22
P23,P23
P24,P24
P25,P25
P26,P26
P27,P27
P28,P28
P29,P29
P30,P30
P31,P31
